ID,Class,Subject,Chapter,Topic,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Difficulty
1,Class 10,Maths,Real Numbers,Fundamental Theorem of Arithmetic,"If two positive integers a and b are written as a = x^3*y^2 and b = x*y^3, where x, y are prime numbers, then HCF(a, b) is:",xy,xy^2,x^3*y^3,x^2*y^2,Option B,"HCF is the product of the smallest power of each common prime factor involved in the numbers: min(3,1)=1 for x, and min(2,3)=2 for y => HCF = x*y^2.",medium
2,Class 10,Maths,Real Numbers,Rational Numbers & Decimals,"The decimal expansion of the rational number 14587 / (2^1 * 5^4) will terminate after how many decimal places?",1 decimal place,2 decimal places,3 decimal places,4 decimal places,Option D,"The maximum power of 2 or 5 in the denominator determines the termination. Here denominator has 5^4, so it terminates after 4 decimal places.",easy
3,Class 10,Maths,Polynomials,Zeros and Coefficients,"If one zero of the quadratic polynomial x^2 + 3x + k is 2, then the value of k is:",10,-10,-7,-2,Option B,"Substitute x = 2 into P(x): (2)^2 + 3(2) + k = 0 => 4 + 6 + k = 0 => k = -10.",easy
4,Class 10,Maths,Polynomials,Relationship between Zeros,"If alpha and beta are the zeros of the polynomial f(x) = x^2 - p(x + 1) - c such that (alpha + 1)(beta + 1) = 0, then c equals:",1,0,-1,2,Option A,"f(x) = x^2 - px - (p + c). Sum of zeros (alpha+beta) = p, Product (alpha*beta) = -(p+c). (alpha+1)(beta+1) = alpha*beta + (alpha+beta) + 1 = -(p+c) + p + 1 = 1 - c = 0 => c = 1.",hard
5,Class 10,Maths,Quadratic Equations,Discriminant & Nature of Roots,"The quadratic equation 2x^2 - sqrt(5)x + 1 = 0 has:",Two distinct real roots,Two equal real roots,No real roots,More than 2 real roots,Option C,"Discriminant D = b^2 - 4ac = (-sqrt(5))^2 - 4(2)(1) = 5 - 8 = -3 < 0. Since D < 0, there are no real roots.",easy
6,Class 10,Maths,Arithmetic Progressions,nth Term,"Which term of the AP: 21, 18, 15, ... is -81?",28th,34th,35th,36th,Option C,"a = 21, d = -3. a_n = a + (n-1)d => -81 = 21 + (n-1)(-3) => -102 = -3(n-1) => n-1 = 34 => n = 35.",medium
7,Class 10,Maths,Arithmetic Progressions,Sum of n Terms,"The sum of first 16 terms of the AP: 10, 6, 2, ... is:",-320,320,-352,-400,Option A,"a = 10, d = -4, n = 16. S_n = n/2 * [2a + (n-1)d] = 8 * [20 + 15(-4)] = 8 * [20 - 60] = 8 * (-40) = -320.",medium
8,Class 10,Maths,Coordinate Geometry,Distance & Section Formula,"The distance of the point P(-6, 8) from the origin (0, 0) is:",8,2*sqrt(7),10,6,Option C,"Distance = sqrt((-6 - 0)^2 + (8 - 0)^2) = sqrt(36 + 64) = sqrt(100) = 10 units.",easy
9,Class 10,Maths,Coordinate Geometry,Mid-point Formula,"If the midpoint of the line segment joining A(x/2, 0) and B(4, 6) is C(3, 3), then the value of x is:",2,4,6,8,Option B,"Using the midpoint formula for the x-coordinate: (x/2 + 4)/2 = 3 => x/2 + 4 = 6 => x/2 = 2 => x = 4. Correct option is 4 (Option B).",medium
10,Class 10,Maths,Trigonometry,Trigonometric Identities,"If sin(theta) + cos(theta) = sqrt(2)*cos(theta), then (cos(theta) - sin(theta)) is equal to:",-sqrt(2)*cos(theta),sqrt(2)*sin(theta),sqrt(2)*cos(theta),sin(theta),Option B,"sin(theta) = (sqrt(2)-1)cos(theta) => cos(theta) = sin(theta)/(sqrt(2)-1) = (sqrt(2)+1)sin(theta). Then cos(theta) - sin(theta) = sqrt(2)*sin(theta).",hard
11,Class 10,Maths,Trigonometry,Values of T-ratios,"The value of (sin 30° + tan 45° - cosec 60°) / (sec 30° + cos 60° + cot 45°) is:",(43 - 24*sqrt(3)) / 11,(43 + 24*sqrt(3)) / 11,(3 - sqrt(3)) / 2,1,Option A,"Substituting standard values: sin 30°=1/2, tan 45°=1, cosec 60°=2/sqrt(3), sec 30°=2/sqrt(3), cos 60°=1/2, cot 45°=1. Simplifying gives (43 - 24*sqrt(3))/11.",hard
12,Class 10,Maths,Circles,Tangents to a Circle,"From a point Q, the length of the tangent to a circle is 24 cm and the distance of Q from the centre is 25 cm. The radius of the circle is:",7 cm,12 cm,15 cm,24.5 cm,Option A,"By Pythagoras theorem in right triangle OPQ: OP = sqrt(OQ^2 - PQ^2) = sqrt(25^2 - 24^2) = sqrt(625 - 576) = sqrt(49) = 7 cm.",easy
13,Class 10,Maths,Statistics,Empirical Relationship,"For a given frequency distribution, if Mean = 30 and Median = 35, then the Mode is:",40,45,50,55,Option B,"Empirical formula: Mode = 3*Median - 2*Mean = 3(35) - 2(30) = 105 - 60 = 45.",easy
14,Class 10,Maths,Probability,Events & Probability,"Which of the following cannot be the probability of an event?",2/3,-1.5,15%,0.7,Option B,"The probability of any event always lies between 0 and 1 inclusive (0 <= P(E) <= 1). Probability can never be negative.",easy
15,Class 9,Maths,Number Systems,Rational & Irrational Numbers,"Which of the following is an irrational number?",sqrt(4/9),sqrt(12) / sqrt(3),sqrt(7),sqrt(81),Option C,"sqrt(7) cannot be expressed as p/q where p,q are integers and q != 0; its decimal expansion is non-terminating and non-recurring.",easy
16,Class 9,Maths,Polynomials,Degree & Classification,"The degree of the zero polynomial is:",0,1,Any natural number,Not defined,Option D,"The zero polynomial P(x) = 0 has no non-zero term, so its degree is not defined.",easy
17,Class 9,Maths,Coordinate Geometry,Cartesian Plane,"A point both of whose coordinates are negative will lie in:",Quadrant I,Quadrant II,Quadrant III,Quadrant IV,Option C,"In Quadrant III, the x-coordinate is negative (x < 0) and the y-coordinate is negative (y < 0).",easy
18,Class 9,Maths,Linear Equations,Solutions of Linear Equation,"Any point on the x-axis is of the form:","(x, y)","(0, y)","(x, 0)","(x, x)",Option C,"On the x-axis, the vertical displacement (y-coordinate/ordinate) is always 0. Hence every point is of the form (x, 0).",easy
19,Class 9,Maths,Triangles,Congruence Criteria,"Which of the following is not a congruence criterion for triangles?",SAS,ASA,SSA,SSS,Option C,"SSA (Side-Side-Angle) is not a valid congruence rule because two non-congruent triangles can have two sides and a non-included angle equal.",easy
20,Class 9,Maths,Probability,Empirical Probability,"A coin is tossed 1000 times with frequencies: Head: 455, Tail: 545. The probability of getting a Head is:",0.455,0.545,0.5,1,Option A,"Empirical probability P(Head) = Number of Heads / Total tosses = 455 / 1000 = 0.455.",easy
21,Class 10,Science,Chemical Reactions and Equations,Types of Chemical Reactions,"When aqueous solutions of barium chloride and sodium sulphate react, the precipitate formed is:",Barium chloride,Sodium chloride,Barium sulphate,Sodium sulphide,Option C,"BaCl2 (aq) + Na2SO4 (aq) -> BaSO4 (s, white ppt) + 2NaCl (aq). This is a precipitation and double displacement reaction.",medium
22,Class 10,Science,Light - Reflection and Refraction,Mirrors & Lenses,"A concave mirror produces a real, inverted and magnified image of an object when the object is placed:",At infinity,Beyond C,Between F and C,Between pole P and focus F,Option C,"When the object is between C (centre of curvature) and F (focus), the concave mirror forms a real, inverted, and magnified image beyond C.",medium
23,Class 10,Science,Electricity,Ohm's Law & Resistance,"If the resistance of a wire of length L and area of cross-section A is R, then the resistance of another wire of the same material having length 2L and area 2A is:",R/2,R,2R,4R,Option B,"R = rho * (L / A). For new wire: R' = rho * (2L / 2A) = rho * (L / A) = R. Hence resistance remains unchanged.",medium
24,Class 9,Science,Motion,Equations of Motion,"A car accelerates uniformly from 18 km/h to 36 km/h in 5 s. The acceleration is:",1 m/s^2,2 m/s^2,3.6 m/s^2,5 m/s^2,Option A,"u = 18 km/h = 5 m/s; v = 36 km/h = 10 m/s; t = 5 s. Acceleration a = (v - u)/t = (10 - 5)/5 = 1 m/s^2.",medium
25,Class 9,Science,Gravitation,Universal Law of Gravitation,"The value of acceleration due to gravity 'g' on Earth:",Is same on equator and poles,Is least on poles,Is least on equator,Increases from pole to equator,Option C,"Since Earth is flattened at poles and bulges at equator (R_equator > R_pole), g = G*M / R^2 is minimum at the equator and maximum at the poles.",medium
26,Class 9,Maths,Circles,Circles & Their Terms,"A chord of a circle that passes through its center is called its:",Radius,Diameter,Arc,Sector,Option B,"The diameter is the chord that passes through the center of the circle. It is the longest chord and equals twice the radius.",easy
27,Class 9,Maths,Circles,Circles & Their Terms,"The region between a chord and the arc it cuts off is called a:",Sector,Segment,Circumference,Radius,Option B,"A segment is the region bounded by a chord and the arc it cuts off. A sector is bounded by an arc and the two radii joining its endpoints to the center.",easy
28,Class 9,Maths,Circles,Circles & Their Terms,"The perpendicular drawn from the center of a circle to a chord:",Bisects the chord,Is shorter than the chord,Is parallel to the chord,Does not meet the chord,Option A,"The perpendicular from the center to a chord bisects the chord (Theorem 10.3). Conversely, the line joining the center to the midpoint of a chord is perpendicular to the chord.",easy
29,Class 9,Maths,Circles,Circles & Their Terms,"How many circles can pass through three given non-collinear points?",Exactly one,Two,Infinitely many,None,Option A,"There is one and only one circle passing through three given non-collinear points (Theorem 10.5). Three collinear points cannot lie on a single circle.",easy
30,Class 9,Maths,Circles,Equal Chords & Their Distances,"Equal chords of a circle subtend ______ angles at the center.",Equal,Unequal,Supplementary,Right,Option A,"Equal chords subtend equal angles at the center (Theorem 10.6). Conversely, chords subtending equal angles at the center are equal.",easy
31,Class 9,Maths,Circles,Angle Subtended by an Arc,"The angle subtended by an arc at the center is ______ the angle subtended by it at any point on the remaining part of the circle.",Half,Double,Equal to,One-third,Option B,"The angle subtended by an arc at the center is double the angle subtended by it at any point on the remaining part of the circle (Theorem 10.8).",medium
32,Class 9,Maths,Circles,Angle Subtended by an Arc,"Angles in the same segment of a circle are:",Equal,Supplementary,Complementary,Unequal,Option A,"Angles in the same segment of a circle are equal (Theorem 10.9) because they subtend the same arc.",easy
33,Class 9,Maths,Circles,Circles & Their Terms,"A point P is at a distance of 7 cm from the center O of a circle of radius 5 cm. Where does P lie?",Inside the circle,On the circle,Outside the circle,At the center,Option C,"If the distance of a point from the center is greater than the radius, the point lies outside the circle. Here 7 cm > 5 cm.",easy
34,Class 9,Maths,Circles,Angle in a Semicircle,"The angle subtended by the diameter of a circle at any point on the circumference is:",An acute angle,A right angle,An obtuse angle,A straight angle,Option B,"The angle in a semicircle is a right angle (90°) — Theorem 10.10. If AB is a diameter and C is any point on the circle, then angle ACB = 90°.",easy
