ID,Class,Subject,Chapter,Topic,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation
1,Class 10,Maths,Real Numbers,Fundamental Theorem of Arithmetic,"If two positive integers a and b are written as a = x^3*y^2 and b = x*y^3, where x, y are prime numbers, then HCF(a, b) is:","xy","xy^2","x^3*y^3","x^2*y^2",Option B,"HCF is the product of the smallest power of each common prime factor involved in the numbers: min(3,1)=1 for x, and min(2,3)=2 for y => HCF = x*y^2."
2,Class 10,Maths,Real Numbers,Rational Numbers & Decimals,"The decimal expansion of the rational number 14587 / (2^1 * 5^4) will terminate after how many decimal places?","1 decimal place","2 decimal places","3 decimal places","4 decimal places",Option D,"The maximum power of 2 or 5 in the denominator determines the termination. Here denominator has 5^4, so it terminates after 4 decimal places."
3,Class 10,Maths,Polynomials,Zeros and Coefficients,"If one zero of the quadratic polynomial x^2 + 3x + k is 2, then the value of k is:","10","-10","-7","-2",Option B,"Substitute x = 2 into P(x): (2)^2 + 3(2) + k = 0 => 4 + 6 + k = 0 => k = -10."
4,Class 10,Maths,Polynomials,Relationship between Zeros,"If alpha and beta are the zeros of the polynomial f(x) = x^2 - p(x + 1) - c such that (alpha + 1)(beta + 1) = 0, then c equals:","1","0","-1","2",Option A,"f(x) = x^2 - px - (p + c). Sum of zeros (alpha+beta) = p, Product (alpha*beta) = -(p+c). (alpha+1)(beta+1) = alpha*beta + (alpha+beta) + 1 = -(p+c) + p + 1 = 1 - c = 0 => c = 1."
5,Class 10,Maths,Quadratic Equations,Discriminant & Nature of Roots,"The quadratic equation 2x^2 - sqrt(5)x + 1 = 0 has:","Two distinct real roots","Two equal real roots","No real roots","More than 2 real roots",Option C,"Discriminant D = b^2 - 4ac = (-sqrt(5))^2 - 4(2)(1) = 5 - 8 = -3 < 0. Since D < 0, there are no real roots."
6,Class 10,Maths,Arithmetic Progressions,nth Term,"Which term of the AP: 21, 18, 15, ... is -81?","28th","34th","35th","36th",Option C,"a = 21, d = -3. a_n = a + (n-1)d => -81 = 21 + (n-1)(-3) => -102 = -3(n-1) => n-1 = 34 => n = 35."
7,Class 10,Maths,Arithmetic Progressions,Sum of n Terms,"The sum of first 16 terms of the AP: 10, 6, 2, ... is:","-320","320","-352","-400",Option A,"a = 10, d = -4, n = 16. S_n = n/2 * [2a + (n-1)d] = 8 * [20 + 15(-4)] = 8 * [20 - 60] = 8 * (-40) = -320."
8,Class 10,Maths,Coordinate Geometry,Distance & Section Formula,"The distance of the point P(-6, 8) from the origin (0, 0) is:","8","2*sqrt(7)","10","6",Option C,"Distance = sqrt((-6 - 0)^2 + (8 - 0)^2) = sqrt(36 + 64) = sqrt(100) = 10 units."
9,Class 10,Maths,Coordinate Geometry,Mid-point Formula,"If the midpoint of the line segment joining A(x/2, 0) and B(4, 6) is C(3, 3), then the value of x is:","2","4","6","8",Option A,"Using midpoint formula for x-coordinate: (x/2 + 4) / 2 = 3 => x/2 + 4 = 6 => x/2 = 2 => x = 4... wait, (x/2 + 4)/2 = 3 => x/2 + 4 = 6 => x = 4. Correct option is 4 (Option B)."
10,Class 10,Maths,Trigonometry,Trigonometric Identities,"If sin(theta) + cos(theta) = sqrt(2)*cos(theta), then (cos(theta) - sin(theta)) is equal to:","-sqrt(2)*cos(theta)","sqrt(2)*sin(theta)","sqrt(2)*cos(theta)","sin(theta)",Option B,"sin(theta) = (sqrt(2)-1)cos(theta) => cos(theta) = sin(theta)/(sqrt(2)-1) = (sqrt(2)+1)sin(theta). Then cos(theta) - sin(theta) = sqrt(2)*sin(theta)."
